FirstName,Phone,Notes
Aviral,9876543210,Interested in product A
Priya,9123456780,Follow up next week
Rohan,9988776655,
Anjali,9090909090,Requested callback
Vikram,9871234560,
Neha,9123984756,Sent brochure
Tarun,9988001122,Interested in demo
Isha,9112233445,
Amit,9001122334,Needs discount
Meena,9321456789,Confirmed order
Suresh,9009988776,
Kajal,9988776654,Waiting for budget approval
Rahul,9345671234,Need urgent call
Sneha,9001122789,
Varun,9191919191,Hot lead
Deepa,9000998877,
Harsh,9234567890,Compare with competitor
Reena,9876543211,Sent quote
Nitin,9332211000,Will decide tomorrow
Simran,9101010101,
Ravi,9445566778,
Mehul,9887766554,
Nidhi,9111223344,
Ankit,9333444555,Already onboarded
Kritika,9667788990,
